车型,厂商,销量
中华H3,华晨中华,82
广汽传祺GA3S,广汽乘用车,81
东南V3菱悦,东南汽车,76
力帆820,力帆汽车,72
菲亚特菲翔,广汽菲克,70
海马M8,一汽海马,67
长安睿骋,长安汽车,56
力帆620,力帆汽车,52
广汽传祺GA3S PHEV,广汽新能源,43
知豆D3,知豆电动车,36
DS 4S,长安标致雪铁龙,29
力帆330,力帆汽车,27
纳智捷5 Sedan,东风裕隆,27
长安奔奔,长安汽车,24
东风A9,东风乘用车,24
东风风行景逸S50新能源,东风风行,20
江南T11,众泰汽车,20
力帆720,力帆汽车,19
DS 5LS,长安标致雪铁龙,18
路盛E70,华泰汽车,14
标致508,东风标致,13
云100,众泰汽车,12
标致308S,东风标致,11
中华骏捷FSV,华晨中华,8
力帆530,力帆汽车,7
中华H530,华晨中华,3
一汽骏派A70E,天津一汽,1
DS 5,长安标致雪铁龙,1
